Price,Reviews,Rating,Brand,Operating System,CPU manufacturer,Screen size,Computer memory size,Processor count,Graphics Chipset Brand,Series,CPU model,Colour,Hard disk size,Resolution,Item weight,Form Factor,Hard disk description,Operating system,Graphics processor manufacturer,Model name,RAM memory technology,Hard disk interface,CPU speed,Form factor,Wireless communication technology,Human interface input,Connectivity Type,Graphics co-processor,Battery cell composition,Item dimensions L x W x H,Cellular technology,Other camera features,Software included,Wireless communication standard
£430.08,4 ratings,5.0 out of 5 stars,Lenovo,Windows 10 Pro,Intel,14 Inches,8 GB,2,NaN,NaN,Core i5 6200U,NaN,512 GB,NaN,8 Kilograms,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Bluetooth, Wi-Fi",NaN,NaN,NaN,NaN,NaN,NaN,NaN
"£1,446.82",96 ratings,4.4 out of 5 stars,Microsoft,Windows 10 Home,Intel,34.39 Centimetres,8 GB,4,Intel,NaN,Core i7,Burgundy,NaN,NaN,1.28 Kilograms,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"£1,500.00",12 ratings,3.7 out of 5 stars,Dell,Windows 10 Home,Intel,15.6 Inches,16 GB,1,Intel,XPS 15 7590,Core i7,NaN,512 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.99,212 ratings,3.8 out of 5 stars,TECLAST,Windows 10,Intel,14.1 Inches,8 GB,4,Intel,F7 Plus,Celeron N,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"£2,499.99",17 ratings,4.3 out of 5 stars,ASUS,Windows 10 Home,AMD,15.6 Inches,32 GB,8,NVIDIA,ROG Zephyrus Duo 15 SE,Ryzen 9,NaN,NaN,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£730.47,45 ratings,4.4 out of 5 stars,Acer,Windows 10,Intel,15.6 Inches,8 GB,1,NVIDIA,Aspire 5,Core i7,NaN,NaN,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£749.99,0,NaN,ASUS,Windows 10 Home,AMD,15.6 Inches,16 GB,8,Intel,VivoBook 15,Ryzen 7,NaN,NaN,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£359.00,136 ratings,3.9 out of 5 stars,CHUWI,Windows 10,Intel,13.3 Inches,8 GB,2,Intel,NaN,Core_m,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£667.69,218 ratings,4.6 out of 5 stars,HUAWEI,Windows 10 Home,Intel,13 Inches,8 GB,8,NVIDIA,Matebook 13 2020,Core i5-10210U,Grey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"£1,399.98",12 ratings,4.3 out of 5 stars,Razer,Windows 10 Home,Intel,13.4 Inches,256 GB,4,Intel,Book 13,Core i7,NaN,16 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£567.08,0,NaN,HP,Windows,Intel,14 Inches,8 GB,2,NaN,NaN,Core i7,NaN,256 GB,NaN,1480 Grams,NaN,Ssd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£368.00,10 ratings,3.6 out of 5 stars,XINYANGCH,Windows 10 Home,Intel,15.6 Inches,6 GB,4,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£419.99,11 ratings,4.1 out of 5 stars,TECLAST,Windows 10,Intel,14.1 Inches,8 GB,4,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£279.00,167 ratings,4.1 out of 5 stars,CHUWI,Windows 10 Home,Intel,10.1 Inches,6 GB,4,Intel,NaN,Celeron,NaN,128 GB,1920 x 1200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.99,212 ratings,3.8 out of 5 stars,TECLAST,Windows 10,Intel,14.1 Inches,8 GB,4,Intel,F7 Plus,Celeron N,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£368.00,10 ratings,3.6 out of 5 stars,XINYANGCH,Windows 10 Home,Intel,15.6 Inches,6 GB,4,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£849.98,0,NaN,Lenovo,Windows 10 Home,AMD,13.3 Inches,8 GB,8,AMD,NaN,Ryzen 7 4700U,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£239.00,285 ratings,4.1 out of 5 stars,LincPlus,Windows,Intel,14 Inches,4 GB,2,Intel,LincPlus p3,Celeron N3350,NaN,64 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£229.99,715 ratings,4.2 out of 5 stars,Jumper,Windows 10,Intel,13.3 Inches,4 GB,2,Intel,Ezbook X3 464office,Celeron N3350,NaN,64 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£399.99,98 ratings,3.8 out of 5 stars,TECLAST,Windows 10,Intel Celeron Processor N4100,11.6 Inches,8 GB,4,Intel,F5,Celeron N,NaN,256 GB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
£419.99,11 ratings,4.1 out of 5 stars,TECLAST,Windows 10,Intel,14.1 Inches,8 GB,4,Intel,NaN,Celeron,NaN,256 GB,1920 x 1080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
